table_name,column_name,data_type
attestations,id,uuid
attestations,learner_user_id,uuid
attestations,skill_id,uuid
attestations,skill_name,text
attestations,status,text
attestations,created_at,timestamp with time zone
attestations,updated_at,timestamp with time zone
audit_logs,id,uuid
audit_logs,profile_id,uuid
audit_logs,actor_user_id,uuid
audit_logs,action,text
audit_logs,entity_type,text
audit_logs,entity_id,uuid
audit_logs,metadata,jsonb
audit_logs,created_at,timestamp with time zone
credential_shares,id,uuid
credential_shares,profile_id,uuid
credential_shares,credential_id,uuid
credential_shares,share_token_hash,text
credential_shares,share_token_hint,text
credential_shares,status,text
credential_shares,expires_at,timestamp with time zone
credential_shares,revoked_at,timestamp with time zone
credential_shares,created_at,timestamp with time zone
credential_shares,updated_at,timestamp with time zone
credentials,id,uuid
credentials,user_id,uuid
credentials,credential_uri,text
credentials,name,text
credentials,credential_types,ARRAY
credentials,issuer_name,text
credentials,issuer_did,text
credentials,holder_did,text
credentials,valid_from,timestamp with time zone
credentials,verification_status,text
credentials,attestation_status,text
credentials,supporting_records,integer
credentials,skill_name,text
credentials,proof,jsonb
credentials,created_at,timestamp with time zone
credentials,updated_at,timestamp with time zone
credentials,skill_id,uuid
credentials,decentralized_identity_id,uuid
credentials,evidence_record_id,uuid
decentralized_identities,id,uuid
decentralized_identities,learner_user_id,uuid
decentralized_identities,did,text
decentralized_identities,controller,text
decentralized_identities,did_document,jsonb
decentralized_identities,status,text
decentralized_identities,created_at,timestamp with time zone
decentralized_identities,updated_at,timestamp with time zone
declared_skills,id,uuid
declared_skills,user_id,uuid
declared_skills,name,text
declared_skills,domain,text
declared_skills,description,text
declared_skills,status,text
declared_skills,last_related_activity_at,timestamp with time zone
declared_skills,last_credential_sync_at,timestamp with time zone
declared_skills,created_at,timestamp with time zone
declared_skills,pipeline_stage,text
disclosed_attributes,id,uuid
disclosed_attributes,credential_share_id,uuid
disclosed_attributes,attribute_key,text
disclosed_attributes,attribute_value,jsonb
disclosed_attributes,disclosed,boolean
disclosed_attributes,created_at,timestamp with time zone
evidence_records,id,uuid
evidence_records,user_id,uuid
evidence_records,source,text
evidence_records,external_id,text
evidence_records,status,text
evidence_records,repository_name,text
evidence_records,repository_url,text
evidence_records,description,text
evidence_records,language,text
evidence_records,stars,integer
evidence_records,forks,integer
evidence_records,last_updated,timestamp with time zone
evidence_records,commit_count,integer
evidence_records,pr_summary,jsonb
evidence_records,sync_date,timestamp with time zone
evidence_records,suggested_skill_id,uuid
evidence_records,suggested_skill_name,text
evidence_records,mapped_skill_id,uuid
evidence_records,github_repo_id,bigint
evidence_records,metadata,jsonb
evidence_records,created_at,timestamp with time zone
evidence_records,updated_at,timestamp with time zone
evidence_records,sync_log_id,uuid
evidence_records,github_repo_uuid,uuid
evidence_records,lms_evidence_id,uuid
github_activities,id,uuid
github_activities,user_id,uuid
github_activities,github_username,text
github_activities,repo_name,text
github_activities,activity_type,text
github_activities,activity_title,text
github_activities,activity_url,text
github_activities,commit_hash,text
github_activities,occurred_at,timestamp with time zone
github_activities,synced_at,timestamp with time zone
